title,date,category,link
"Bowie, Maryland Nurse Practitioner Pleads Guilty to Conspiracy to Distribute and Dispense Oxycodone",2022-01-11,"Bowie, Maryland Nurse Practitioner Pleads Guilty to Conspiracy to Distribute and Dispense Oxycodone",https://oig.hhs.gov/fraud/enforcement/bowie-maryland-nurse-practitioner-pleads-guilty-to-conspiracy-to-distribute-and-dispense-oxycodone/
UC San Diego Health Pays $2.98 Million to Resolve Allegations of Ordering Unnecessary Genetic Testing,2022-01-11,UC San Diego Health Pays $2.98 Million to Resolve Allegations of Ordering Unnecessary Genetic Testing,https://oig.hhs.gov/fraud/enforcement/uc-san-diego-health-pays-298-million-to-resolve-allegations-of-ordering-unnecessary-genetic-testing/
Diabetic Shoe Company Agrees to Pay $5.5 Million to Resolve False Claims Act Allegations Regarding “Custom” Shoe Inserts,2022-01-12,Diabetic Shoe Company Agrees to Pay $5.5 Million to Resolve False Claims Act Allegations Regarding “Custom” Shoe Inserts,https://oig.hhs.gov/fraud/enforcement/diabetic-shoe-company-agrees-to-pay-55-million-to-resolve-false-claims-act-allegations-regarding-custom-shoe-inserts/
Surgery Centers and Medical Offices in New Jersey Settle Allegations of Federal Health Care Fraud,2022-01-12,Surgery Centers and Medical Offices in New Jersey Settle Allegations of Federal Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/surgery-centers-and-medical-offices-in-new-jersey-settle-allegations-of-federal-health-care-fraud/
"Gastro Group of the Palm Beaches Agreed to Pay $16,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Hospital-Based Consultation Services that Were Not Rendered",2022-01-12,"Gastro Group of the Palm Beaches Agreed to Pay $16,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Hospital-Based Consultation Services that Were Not Rendered",https://oig.hhs.gov/fraud/enforcement/gastro-group-of-the-palm-beaches-agreed-to-pay-16000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-hospital-based-consultation-services-that-were-not-rendered/
"NC Pharmacy Operator Pleads Guilty to Conspiracy to Fraudulently Bill Medicare, Medicaid and Private Insurance Companies",2022-01-13,"NC Pharmacy Operator Pleads Guilty to Conspiracy to Fraudulently Bill Medicare, Medicaid and Private Insurance Companies",https://oig.hhs.gov/fraud/enforcement/nc-pharmacy-operator-pleads-guilty-to-conspiracy-to-fraudulently-bill-medicare-medicaid-and-private-insurance-companies/
Lab Owner Pleads Guilty to $6.9 Million Genetic Testing & COVID-19 Testing Fraud Scheme,2022-01-13,Lab Owner Pleads Guilty to $6.9 Million Genetic Testing & COVID-19 Testing Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/lab-owner-pleads-guilty-to-69-million-genetic-testing-covid-19-testing-fraud-scheme/
"Darrell C. Brett Agreed to Pay $258,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Lacked Proper Supervision",2022-01-14,"Darrell C. Brett Agreed to Pay $258,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Lacked Proper Supervision",https://oig.hhs.gov/fraud/enforcement/darrell-c-brett-agreed-to-pay-258000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-lacked-proper-supervision/
"DOJ and Federal Way, Washington doctor settle False Claims Act allegations over drug testing",2022-01-14,"DOJ and Federal Way, Washington doctor settle False Claims Act allegations over drug testing",https://oig.hhs.gov/fraud/enforcement/doj-and-federal-way-washington-doctor-settle-false-claims-act-allegations-over-drug-testing/
"Dr. John Pierce Agreed to Pay $18,000 for Allegedly Violating the Civil Monetary Penalties Law by Falsely Certifying to His Eligibility to Receive CARES Act Provider Relief Funds",2022-01-14,"Dr. John Pierce Agreed to Pay $18,000 for Allegedly Violating the Civil Monetary Penalties Law by Falsely Certifying to His Eligibility to Receive CARES Act Provider Relief Funds",https://oig.hhs.gov/fraud/enforcement/dr-john-pierce-agreed-to-pay-18000-for-allegedly-violating-the-civil-monetary-penalties-law-by-falsely-certifying-to-his-eligibility-to-receive-cares-act-provider-relief-funds/
New unit formed to combat health care fraud in West Virginia,2022-01-18,New unit formed to combat health care fraud in West Virginia,https://oig.hhs.gov/fraud/enforcement/new-unit-formed-to-combat-health-care-fraud-in-west-virginia/
"Christopher Vendryes, MD Agreed to Pay $264,000 for Allegedly Violating the Civil Monetary Penalties Law by Receiving Renumeration in Exchange for Prescribing Subsys",2022-01-19,"Christopher Vendryes, MD Agreed to Pay $264,000 for Allegedly Violating the Civil Monetary Penalties Law by Receiving Renumeration in Exchange for Prescribing Subsys",https://oig.hhs.gov/fraud/enforcement/christopher-vendryes-md-agreed-to-pay-264000-for-allegedly-violating-the-civil-monetary-penalties-law-by-receiving-renumeration-in-exchange-for-prescribing-subsys/
AG Healey’s Medicaid Fraud Division Recovers More than $55 Million in 2021,2022-01-19,AG Healey’s Medicaid Fraud Division Recovers More than $55 Million in 2021,https://oig.hhs.gov/fraud/enforcement/ag-healeys-medicaid-fraud-division-recovers-more-than-55-million-in-2021/
"South Central Regional Medical Center Agreed to Pay $92,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2022-01-19,"South Central Regional Medical Center Agreed to Pay $92,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/south-central-regional-medical-center-agreed-to-pay-92000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Sioux City-Based Physician Group, Tri-State Specialists, L.L.P., Agrees to Pay Over $600,000 to Resolve False Claims Act Allegations",2022-01-20,"Sioux City-Based Physician Group, Tri-State Specialists, L.L.P., Agrees to Pay Over $600,000 to Resolve False Claims Act Allegations",https://oig.hhs.gov/fraud/enforcement/sioux-city-based-physician-group-tri-state-specialists-llp-agrees-to-pay-over-600000-to-resolve-false-claims-act-allegations/
Seven Texas Doctors and a Hospital CEO Agree to Pay over $1.1 Million to Settle Kickback Allegations,2022-01-20,Seven Texas Doctors and a Hospital CEO Agree to Pay over $1.1 Million to Settle Kickback Allegations,https://oig.hhs.gov/fraud/enforcement/seven-texas-doctors-and-a-hospital-ceo-agree-to-pay-over-11-million-to-settle-kickback-allegations/
"Judge sentences Cape Girardeau, Missouri woman for Medicare and Medicaid fraud",2022-01-20,"Judge sentences Cape Girardeau, Missouri woman for Medicare and Medicaid fraud",https://oig.hhs.gov/fraud/enforcement/judge-sentences-cape-girardeau-missouri-woman-for-medicare-and-medicaid-fraud/
"Accu Reference Medical Lab Agreed to Pay $598,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",2022-01-20,"Accu Reference Medical Lab Agreed to Pay $598,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",https://oig.hhs.gov/fraud/enforcement/accu-reference-medical-lab-agreed-to-pay-598000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-services/
"Med Tech Ambulance Service Agreed to Pay $215,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",2022-01-21,"Med Tech Ambulance Service Agreed to Pay $215,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",https://oig.hhs.gov/fraud/enforcement/med-tech-ambulance-service-agreed-to-pay-215000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-covered-by-the-snf-consolidated-billing-payment/
Attorney General Ford Announces Medical Group to Pay Over $2 Million to Settle Allegations Involving Improper Billing of Urine Drug Testing,2022-01-24,Attorney General Ford Announces Medical Group to Pay Over $2 Million to Settle Allegations Involving Improper Billing of Urine Drug Testing,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-medical-group-to-pay-over-2-million-to-settle-allegations-involving-improper-billing-of-urine-drug-testing/
Former Tennessee Clinic Owner Sentenced for Opioid Distribution,2022-01-24,Former Tennessee Clinic Owner Sentenced for Opioid Distribution,https://oig.hhs.gov/fraud/enforcement/former-tennessee-clinic-owner-sentenced-for-opioid-distribution/
Mahoning County Physician Pleads Guilty to Illegally Prescribing Controlled Substances and Causing the Deaths of Two Patients,2022-01-24,Mahoning County Physician Pleads Guilty to Illegally Prescribing Controlled Substances and Causing the Deaths of Two Patients,https://oig.hhs.gov/fraud/enforcement/mahoning-county-physician-pleads-guilty-to-illegally-prescribing-controlled-substances-and-causing-the-deaths-of-two-patients/
Shelton Doctor Admits Illegally Prescribing Controlled Substances,2022-01-24,Shelton Doctor Admits Illegally Prescribing Controlled Substances,https://oig.hhs.gov/fraud/enforcement/shelton-doctor-admits-illegally-prescribing-controlled-substances/
Optometrist Charged with Fraudulently Billing MassHealth for Care Never Provided to Nursing Home Residents,2022-01-25,Optometrist Charged with Fraudulently Billing MassHealth for Care Never Provided to Nursing Home Residents,https://oig.hhs.gov/fraud/enforcement/optometrist-charged-with-fraudulently-billing-masshealth-for-care-never-provided-to-nursing-home-residents/
"Bret Gene Ball Agreed to Pay $438,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Lacked Proper Supervision",2022-01-25,"Bret Gene Ball Agreed to Pay $438,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Lacked Proper Supervision",https://oig.hhs.gov/fraud/enforcement/bret-gene-ball-agreed-to-pay-438000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-lacked-proper-supervision/
"Vassar Brother Medical Center Agreed to Pay $432,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Duplicate Services",2022-01-25,"Vassar Brother Medical Center Agreed to Pay $432,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Duplicate Services",https://oig.hhs.gov/fraud/enforcement/vassar-brother-medical-center-agreed-to-pay-432000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-duplicate-services/
Attorney General Alan Wilson announces arrest of Hartsville man for Medicaid fraud,2022-01-26,Attorney General Alan Wilson announces arrest of Hartsville man for Medicaid fraud,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-hartsville-man-for-medicaid-fraud/
U.S. Attorney’s Office Files Suit Against Philadelphia Pharmacy and Pharmacist for Illegally Dispensing Opioids and for Health Care Fraud,2022-01-27,U.S. Attorney’s Office Files Suit Against Philadelphia Pharmacy and Pharmacist for Illegally Dispensing Opioids and for Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/us-attorneys-office-files-suit-against-philadelphia-pharmacy-and-pharmacist-for-illegally-dispensing-opioids-and-for-health-care-fraud/
Attorney General James Announces Conviction of Western New York Optician for Medicaid Fraud,2022-01-27,Attorney General James Announces Conviction of Western New York Optician for Medicaid Fraud,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-conviction-of-western-new-york-optician-for-medicaid-fraud/
Quincy Woman Arraigned on Additional Charges in Connection with Collecting Thousands from Fraudulent Billing Practices,2022-01-28,Quincy Woman Arraigned on Additional Charges in Connection with Collecting Thousands from Fraudulent Billing Practices,https://oig.hhs.gov/fraud/enforcement/quincy-woman-arraigned-on-additional-charges-in-connection-with-collecting-thousands-from-fraudulent-billing-practices/
Milwaukee Pharmacy Chain to Pay Over $2 Million to Resolve Allegations It Violated the False Claims Act,2022-01-28,Milwaukee Pharmacy Chain to Pay Over $2 Million to Resolve Allegations It Violated the False Claims Act,https://oig.hhs.gov/fraud/enforcement/milwaukee-pharmacy-chain-to-pay-over-2-million-to-resolve-allegations-it-violated-the-false-claims-act/
"Summa Health Agreed to Pay $19,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals and Submitted Claims for Services or Equipment Ordered by Excluded Physicians",2022-01-31,"Summa Health Agreed to Pay $19,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals and Submitted Claims for Services or Equipment Ordered by Excluded Physicians",https://oig.hhs.gov/fraud/enforcement/summa-health-agreed-to-pay-19000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-excluded-individuals-and-submitted-claims-for-services-or-equipment-ordered-by-excluded-physicians/
Cardinal Health Agrees to Pay More than $13 Million to Resolve Allegations that it Paid Kickbacks to Physicians,2022-01-31,Cardinal Health Agrees to Pay More than $13 Million to Resolve Allegations that it Paid Kickbacks to Physicians,https://oig.hhs.gov/fraud/enforcement/cardinal-health-agrees-to-pay-more-than-13-million-to-resolve-allegations-that-it-paid-kickbacks-to-physicians/
Attorney General Josh Stein Wins Nearly $1.5 Million in Health Care Settlements,2022-02-01,Attorney General Josh Stein Wins Nearly $1.5 Million in Health Care Settlements,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-wins-nearly-15-million-in-health-care-settlements/
North Carolina Psychologist Sentenced for Medicaid Fraud Scheme Involving Minors,2022-02-01,North Carolina Psychologist Sentenced for Medicaid Fraud Scheme Involving Minors,https://oig.hhs.gov/fraud/enforcement/north-carolina-psychologist-sentenced-for-medicaid-fraud-scheme-involving-minors/
South Florida Man Sentenced To 15 Years For Consecutive Health Care Fraud Conspiracies,2022-02-02,South Florida Man Sentenced To 15 Years For Consecutive Health Care Fraud Conspiracies,https://oig.hhs.gov/fraud/enforcement/south-florida-man-sentenced-to-15-years-for-consecutive-health-care-fraud-conspiracies/
"Missouri Attorney General Obtains $500,000 Settlement in Medicaid Fraud Case",2022-02-02,"Missouri Attorney General Obtains $500,000 Settlement in Medicaid Fraud Case",https://oig.hhs.gov/fraud/enforcement/missouri-attorney-general-obtains-500000-settlement-in-medicaid-fraud-case/
Georgia nurse practitioner convicted of health care fraud in complex telemedicine fraud scheme,2022-02-02,Georgia nurse practitioner convicted of health care fraud in complex telemedicine fraud scheme,https://oig.hhs.gov/fraud/enforcement/georgia-nurse-practitioner-convicted-of-health-care-fraud-in-complex-telemedicine-fraud-scheme/
"Acting AG Bruck Announces Indictment Against Two Nurses in Connection to the Death of an Individual in Absecon, New Jersey",2022-02-04,"Acting AG Bruck Announces Indictment Against Two Nurses in Connection to the Death of an Individual in Absecon, New Jersey",https://oig.hhs.gov/fraud/enforcement/acting-ag-bruck-announces-indictment-against-two-nurses-in-connection-to-the-death-of-an-individual-in-absecon-new-jersey/
Murrysville Doctor Sentenced for Illegal Drug Distribution and Health Care Fraud,2022-02-04,Murrysville Doctor Sentenced for Illegal Drug Distribution and Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/murrysville-doctor-sentenced-for-illegal-drug-distribution-and-health-care-fraud/
AG Kaul Announces $2 Million Agreement with Hayat Pharmacy,2022-02-04,AG Kaul Announces $2 Million Agreement with Hayat Pharmacy,https://oig.hhs.gov/fraud/enforcement/ag-kaul-announces-2-million-agreement-with-hayat-pharmacy/
West L.A. Compounding Pharmacy Owner Sentenced to 2½ Years in Federal Prison for Running $14 Million Health Care Fraud Scheme,2022-02-07,West L.A. Compounding Pharmacy Owner Sentenced to 2½ Years in Federal Prison for Running $14 Million Health Care Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/west-la-compounding-pharmacy-owner-sentenced-to-2%C2%BD-years-in-federal-prison-for-running-14-million-health-care-fraud-scheme/
"Physicians Toxicology Laboratory Agreed to Pay $386,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",2022-02-07,"Physicians Toxicology Laboratory Agreed to Pay $386,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",https://oig.hhs.gov/fraud/enforcement/physicians-toxicology-laboratory-agreed-to-pay-386000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-services/
Attorney General Moody Announces Arrest of Business Owner for Stealing Thousands from Medicaid Program,2022-02-08,Attorney General Moody Announces Arrest of Business Owner for Stealing Thousands from Medicaid Program,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-business-owner-for-stealing-thousands-from-medicaid-program/
"Bay City Vascular Surgeon Pleads Guilty in Connection with Defrauding Medicare, Medicaid, And Blue Cross Blue Shield Of $19.5 Million",2022-02-08,"Bay City Vascular Surgeon Pleads Guilty in Connection with Defrauding Medicare, Medicaid, And Blue Cross Blue Shield Of $19.5 Million",https://oig.hhs.gov/fraud/enforcement/bay-city-vascular-surgeon-pleads-guilty-in-connection-with-defrauding-medicare-medicaid-and-blue-cross-blue-shield-of-195-million/
Carl Edmiston Agreed to Be Excluded for 5 Years for Receiving Remuneration in Exchange for Prescriptions,2022-02-08,Carl Edmiston Agreed to Be Excluded for 5 Years for Receiving Remuneration in Exchange for Prescriptions,https://oig.hhs.gov/fraud/enforcement/carl-edmiston-agreed-to-be-excluded-for-5-years-for-receiving-remuneration-in-exchange-for-prescriptions/
"Alternative Consulting Enterprises, Supportive Concepts for Families, and Inperium Agreed to Pay $111,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",2022-02-08,"Alternative Consulting Enterprises, Supportive Concepts for Families, and Inperium Agreed to Pay $111,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",https://oig.hhs.gov/fraud/enforcement/alternative-consulting-enterprises-supportive-concepts-for-families-and-inperium-agreed-to-pay-111000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/
Catholic Medical Center Agrees to Pay $3.8 Million to Resolve Kickback-Related False Claims Act Allegations,2022-02-09,Catholic Medical Center Agrees to Pay $3.8 Million to Resolve Kickback-Related False Claims Act Allegations,https://oig.hhs.gov/fraud/enforcement/catholic-medical-center-agrees-to-pay-38-million-to-resolve-kickback-related-false-claims-act-allegations/
Ten Indicted for Healthcare Kickbacks,2022-02-10,Ten Indicted for Healthcare Kickbacks,https://oig.hhs.gov/fraud/enforcement/ten-indicted-for-healthcare-kickbacks/
Attorney General Bonta Announces Sentencing of Vista Caretaker for Committing Multiple Acts of Financial and Sexual Elder Abuse in San Diego County,2022-02-10,Attorney General Bonta Announces Sentencing of Vista Caretaker for Committing Multiple Acts of Financial and Sexual Elder Abuse in San Diego County,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-sentencing-of-vista-caretaker-for-committing-multiple-acts-of-financial-and-sexual-elder-abuse-in-san-diego-county/
Florida-Based Medicare Reimbursement Consultant Resolves Litigation for Allegedly Causing False Diabetic Supply Claims to Medicare,2022-02-14,Florida-Based Medicare Reimbursement Consultant Resolves Litigation for Allegedly Causing False Diabetic Supply Claims to Medicare,https://oig.hhs.gov/fraud/enforcement/florida-based-medicare-reimbursement-consultant-resolves-litigation-for-allegedly-causing-false-diabetic-supply-claims-to-medicare/
"Attorney General Bonta Announces Sentencing of Two Sisters for Stealing Over $272,000 from Elderly Resident at Escalon Residential Care Facility",2022-02-14,"Attorney General Bonta Announces Sentencing of Two Sisters for Stealing Over $272,000 from Elderly Resident at Escalon Residential Care Facility",https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-sentencing-of-two-sisters-for-stealing-over-272000-from-elderly-resident-at-escalon-residential-care-facility/
Florida’s NCH Healthcare System Agrees to Pay $5.5 Million to Settle Common Law Allegations for Impermissible Medicaid Donations,2022-02-14,Florida’s NCH Healthcare System Agrees to Pay $5.5 Million to Settle Common Law Allegations for Impermissible Medicaid Donations,https://oig.hhs.gov/fraud/enforcement/floridas-nch-healthcare-system-agrees-to-pay-55-million-to-settle-common-law-allegations-for-impermissible-medicaid-donations/
Rutledge: Clark County Caregiver Sentenced To Jail Following Abuse Guilty Plea,2022-02-15,Rutledge: Clark County Caregiver Sentenced To Jail Following Abuse Guilty Plea,https://oig.hhs.gov/fraud/enforcement/rutledge-clark-county-caregiver-sentenced-to-jail-following-abuse-guilty-plea/
"Appalachian Regional Health Agreed to Pay $21,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2022-02-15,"Appalachian Regional Health Agreed to Pay $21,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/appalachian-regional-health-agreed-to-pay-21000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Cumberland County Man Charged With Health Care Fraud, Money Laundering, And Theft Of Public Money",2022-02-15,"Cumberland County Man Charged With Health Care Fraud, Money Laundering, And Theft Of Public Money",https://oig.hhs.gov/fraud/enforcement/cumberland-county-man-charged-with-health-care-fraud-money-laundering-and-theft-of-public-money/
"Richland Naturopath Agrees to Pay $70,096 for Improper Prescription of Controlled Substances",2022-02-15,"Richland Naturopath Agrees to Pay $70,096 for Improper Prescription of Controlled Substances",https://oig.hhs.gov/fraud/enforcement/richland-naturopath-agrees-to-pay-70096-for-improper-prescription-of-controlled-substances/
Florida Man Admits Role in $35 Million Pharmacy Compounded Medication Scheme,2022-02-15,Florida Man Admits Role in $35 Million Pharmacy Compounded Medication Scheme,https://oig.hhs.gov/fraud/enforcement/florida-man-admits-role-in-35-million-pharmacy-compounded-medication-scheme/
Two Women Sentenced in Multi-Million-Dollar Medicare Fraud Scheme,2022-02-15,Two Women Sentenced in Multi-Million-Dollar Medicare Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/two-women-sentenced-in-multi-million-dollar-medicare-fraud-scheme/
"Brockton Urology Agrees to Pay $100,000 to Resolve Allegations that it Violated the False Claims Act",2022-02-15,"Brockton Urology Agrees to Pay $100,000 to Resolve Allegations that it Violated the False Claims Act",https://oig.hhs.gov/fraud/enforcement/brockton-urology-agrees-to-pay-100000-to-resolve-allegations-that-it-violated-the-false-claims-act/
Attorney General Ford Announces Sentencing of Former Las Vegas Medicaid Provider Shonna Nicole Marshall,2022-02-16,Attorney General Ford Announces Sentencing of Former Las Vegas Medicaid Provider Shonna Nicole Marshall,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-former-las-vegas-medicaid-provider-shonna-nicole-marshall/
Doctor Pleads Guilty to Accepting Illegal Kickback Payment in Return for Writing Prescriptions for Compounded Drugs,2022-02-16,Doctor Pleads Guilty to Accepting Illegal Kickback Payment in Return for Writing Prescriptions for Compounded Drugs,https://oig.hhs.gov/fraud/enforcement/doctor-pleads-guilty-to-accepting-illegal-kickback-payment-in-return-for-writing-prescriptions-for-compounded-drugs/
Isis Moneer Mary Abraham Agreed to Be Excluded for 3 Years for Submitting Claims for Unused Portions of Injectable Drugs,2022-02-17,Isis Moneer Mary Abraham Agreed to Be Excluded for 3 Years for Submitting Claims for Unused Portions of Injectable Drugs,https://oig.hhs.gov/fraud/enforcement/isis-moneer-mary-abraham-agreed-to-be-excluded-for-3-years-for-submitting-claims-for-unused-portions-of-injectable-drugs/
Florida Man Sentenced in Multi-Million-Dollar Medicare Fraud Scheme,2022-02-17,Florida Man Sentenced in Multi-Million-Dollar Medicare Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/florida-man-sentenced-in-multi-million-dollar-medicare-fraud-scheme/
"Former Addiction Clinic Manager Charged with TennCare Fraud, Drug Fraud, ID Theft",2022-02-18,"Former Addiction Clinic Manager Charged with TennCare Fraud, Drug Fraud, ID Theft",https://oig.hhs.gov/fraud/enforcement/former-addiction-clinic-manager-charged-with-tenncare-fraud-drug-fraud-id-theft/
Pakistani Man Sentenced for Health Care Fraud and Money Laundering Conspiracy,2022-02-18,Pakistani Man Sentenced for Health Care Fraud and Money Laundering Conspiracy,https://oig.hhs.gov/fraud/enforcement/pakistani-man-sentenced-for-health-care-fraud-and-money-laundering-conspiracy/
Diagnostic testing company agrees to resolve claims for improperly billed testing,2022-02-18,Diagnostic testing company agrees to resolve claims for improperly billed testing,https://oig.hhs.gov/fraud/enforcement/diagnostic-testing-company-agrees-to-resolve-claims-for-improperly-billed-testing/
