title,date,category,link
"Attorney General Josh Stein Reaches $61,000 Medicaid Fraud Settlement with Burlington Provider",2024-01-10,"Attorney General Josh Stein Reaches $61,000 Medicaid Fraud Settlement with Burlington Provider",https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-reaches-61000-medicaid-fraud-settlement-with-burlington-provider/
"Good Samaritan EMS Agreed to Pay $33,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-01-10,"Good Samaritan EMS Agreed to Pay $33,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",https://oig.hhs.gov/fraud/enforcement/good-samaritan-ems-agreed-to-pay-33000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
New Jersey Laboratory and Its Owner and CEO Agree to Pay Over $13 Million to Settle Allegations of Kickbacks and Unnecessary Testing,2024-01-10,New Jersey Laboratory and Its Owner and CEO Agree to Pay Over $13 Million to Settle Allegations of Kickbacks and Unnecessary Testing,https://oig.hhs.gov/fraud/enforcement/new-jersey-laboratory-and-its-owner-and-ceo-agree-to-pay-over-13-million-to-settle-allegations-of-kickbacks-and-unnecessary-testing/
Attorney General Alan Wilson announces two employees charged with stealing from assisted-living home residents in Chester,2024-01-11,Attorney General Alan Wilson announces two employees charged with stealing from assisted-living home residents in Chester,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-two-employees-charged-with-stealing-from-assisted-living-home-residents-in-chester/
"St. Louis Area Doctors Accused of Illegally Administering Ketamine, Health Care Fraud",2024-01-11,"St. Louis Area Doctors Accused of Illegally Administering Ketamine, Health Care Fraud",https://oig.hhs.gov/fraud/enforcement/st-louis-area-doctors-accused-of-illegally-administering-ketamine-health-care-fraud/
Carla Jackson Agreed to Be Excluded for7 Years for Allegedly Receiving Improper Remuneration,2024-01-12,Carla Jackson Agreed to Be Excluded for7 Years for Allegedly Receiving Improper Remuneration,https://oig.hhs.gov/fraud/enforcement/carla-jackson-agreed-to-be-excluded-for7-years-for-allegedly-receiving-improper-remuneration/
"Dr. Evan Kardon Agreed to Pay $210,000 and Be Excluded for 10 Years for Allegedly Receiving Remuneration in Exchange for Ordering Durable Medical Equipment and Genetic Tests",2024-01-12,"Dr. Evan Kardon Agreed to Pay $210,000 and Be Excluded for 10 Years for Allegedly Receiving Remuneration in Exchange for Ordering Durable Medical Equipment and Genetic Tests",https://oig.hhs.gov/fraud/enforcement/dr-evan-kardon-agreed-to-pay-210000-and-be-excluded-for-10-years-for-allegedly-receiving-remuneration-in-exchange-for-ordering-durable-medical-equipment-and-genetic-tests/
Shreveport Woman Pleads Guilty to Defrauding Medicaid,2024-01-12,Shreveport Woman Pleads Guilty to Defrauding Medicaid,https://oig.hhs.gov/fraud/enforcement/shreveport-woman-pleads-guilty-to-defrauding-medicaid/
"Jackson Health System Agreed to Pay $233,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations and Stabilizing Treatment",2024-01-12,"Jackson Health System Agreed to Pay $233,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations and Stabilizing Treatment",https://oig.hhs.gov/fraud/enforcement/jackson-health-system-agreed-to-pay-233000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examinations-and-stabilizing-treatment/
New Jersey Hospital and Investors to Pay the United States $30.6 Million for Alleged False Claims Related to Excessive Cost Outlier Payments,2024-01-16,New Jersey Hospital and Investors to Pay the United States $30.6 Million for Alleged False Claims Related to Excessive Cost Outlier Payments,https://oig.hhs.gov/fraud/enforcement/new-jersey-hospital-and-investors-to-pay-the-united-states-306-million-for-alleged-false-claims-related-to-excessive-cost-outlier-payments/
Richmond Clinic Owners Agree To Settle Allegations Regarding Acupuncture Devices,2024-01-16,Richmond Clinic Owners Agree To Settle Allegations Regarding Acupuncture Devices,https://oig.hhs.gov/fraud/enforcement/richmond-clinic-owners-agree-to-settle-allegations-regarding-acupuncture-devices/
"Southern Oregon Hospital System and Physician Agree to Pay $430,000 to Settle Health Care Fraud Allegations",2024-01-16,"Southern Oregon Hospital System and Physician Agree to Pay $430,000 to Settle Health Care Fraud Allegations",https://oig.hhs.gov/fraud/enforcement/southern-oregon-hospital-system-and-physician-agree-to-pay-430000-to-settle-health-care-fraud-allegations/
"Nebula Health and Deepak Rajpoot, MD Agreed to Pay $393,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims Not Provided as Claimed",2024-01-17,"Nebula Health and Deepak Rajpoot, MD Agreed to Pay $393,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims Not Provided as Claimed",https://oig.hhs.gov/fraud/enforcement/nebula-health-and-deepak-rajpoot-md-agreed-to-pay-393000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-not-provided-as-claimed/
AmeriHealth Clinics Consent To A $2 Million Judgment To Resolve Healthcare Fraud Allegations,2024-01-17,AmeriHealth Clinics Consent To A $2 Million Judgment To Resolve Healthcare Fraud Allegations,https://oig.hhs.gov/fraud/enforcement/amerihealth-clinics-consent-to-a-2-million-judgment-to-resolve-healthcare-fraud-allegations/
Advocare Agreed to Pay $2.2 Million for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Bonus Payments,2024-01-18,Advocare Agreed to Pay $2.2 Million for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Bonus Payments,https://oig.hhs.gov/fraud/enforcement/advocare-agreed-to-pay-22-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-bonus-payments/
"New York Man Sentenced to Federal Prison and Pays $850,000 in Civil Fines and Restitution for Durable Medical Equipment Scheme",2024-01-18,"New York Man Sentenced to Federal Prison and Pays $850,000 in Civil Fines and Restitution for Durable Medical Equipment Scheme",https://oig.hhs.gov/fraud/enforcement/new-york-man-sentenced-to-federal-prison-and-pays-850000-in-civil-fines-and-restitution-for-durable-medical-equipment-scheme/
Former Pharmacy President Sentenced To Three Years In Prison For $32 Million Health Care Kickback Scheme,2024-01-18,Former Pharmacy President Sentenced To Three Years In Prison For $32 Million Health Care Kickback Scheme,https://oig.hhs.gov/fraud/enforcement/former-pharmacy-president-sentenced-to-three-years-in-prison-for-32-million-health-care-kickback-scheme/
"TriStar Greenview Regional Hospital Agreed to Pay $90,000 for Allegedly Violating Patient Dumping Statute by Failing to Treat a Patient with an Emergency Medical Condition",2024-01-18,"TriStar Greenview Regional Hospital Agreed to Pay $90,000 for Allegedly Violating Patient Dumping Statute by Failing to Treat a Patient with an Emergency Medical Condition",https://oig.hhs.gov/fraud/enforcement/tristar-greenview-regional-hospital-agreed-to-pay-90000-for-allegedly-violating-patient-dumping-statute-by-failing-to-treat-a-patient-with-an-emergency-medical-condition/
Dr. Lloyd Costello Agreed to Be Excluded for 7 Years for Allegedly Prescribing Medically Unnecessary Drugs,2024-01-19,Dr. Lloyd Costello Agreed to Be Excluded for 7 Years for Allegedly Prescribing Medically Unnecessary Drugs,https://oig.hhs.gov/fraud/enforcement/dr-lloyd-costello-agreed-to-be-excluded-for-7-years-for-allegedly-prescribing-medically-unnecessary-drugs/
AG Campbell Announces Settlements With Three Temporary Nurse Staffing Agencies For Overcharging Long-Term Care Facilities,2024-01-19,AG Campbell Announces Settlements With Three Temporary Nurse Staffing Agencies For Overcharging Long-Term Care Facilities,https://oig.hhs.gov/fraud/enforcement/ag-campbell-announces-settlements-with-three-temporary-nurse-staffing-agencies-for-overcharging-long-term-care-facilities/
Former MercyOne Nurse Sentenced for Conspiracy to Acquire Controlled Substances and Possession of Child Pornography,2024-01-22,Former MercyOne Nurse Sentenced for Conspiracy to Acquire Controlled Substances and Possession of Child Pornography,https://oig.hhs.gov/fraud/enforcement/former-mercyone-nurse-sentenced-for-conspiracy-to-acquire-controlled-substances-and-possession-of-child-pornography/
Former CEO of Whittier Health Clinic Sentenced to More Than 10 Years in Prison for Running Multimillion-Dollar Scheme to Defraud Medi-Cal,2024-01-22,Former CEO of Whittier Health Clinic Sentenced to More Than 10 Years in Prison for Running Multimillion-Dollar Scheme to Defraud Medi-Cal,https://oig.hhs.gov/fraud/enforcement/more-than-10-years-in-prison-for-running-multimillion-dollar-scheme-to-defraud-medi-cal/
"Susquehanna Township Emergency Medical Services Agreed to Pay $122,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Relied on Falsified Documents",2024-01-23,"Susquehanna Township Emergency Medical Services Agreed to Pay $122,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Relied on Falsified Documents",https://oig.hhs.gov/fraud/enforcement/susquehanna-township-emergency-medical-services-agreed-to-pay-122000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-relied-on-falsified-documents/
Current and Former Owners of Center City Philadelphia Pharmacy Agree to Pay Over $4.6 Million to Resolve Civil Investigations of Improper Medicare and Medicaid Billing,2024-01-23,Current and Former Owners of Center City Philadelphia Pharmacy Agree to Pay Over $4.6 Million to Resolve Civil Investigations of Improper Medicare and Medicaid Billing,https://oig.hhs.gov/fraud/enforcement/current-and-former-owners-of-center-city-philadelphia-pharmacy-agree-to-pay-over-46-million-to-resolve-civil-investigations-of-improper-medicare-and-medicaid-billing/
Columbia Physician Indicted for False Statements to Medicare,2024-01-24,Columbia Physician Indicted for False Statements to Medicare,https://oig.hhs.gov/fraud/enforcement/columbia-physician-indicted-for-false-statements-to-medicare/
New Hanover County Social Worker Pleads Guilty to Conspiring to Defraud Medicaid,2024-01-24,New Hanover County Social Worker Pleads Guilty to Conspiring to Defraud Medicaid,https://oig.hhs.gov/fraud/enforcement/new-hanover-county-social-worker-pleads-guilty-to-conspiring-to-defraud-medicaid/
Arapahoe Man Sentenced For Assault Resulting In Serious Bodily Injury And Theft From An Indian Organization,2024-01-24,Arapahoe Man Sentenced For Assault Resulting In Serious Bodily Injury And Theft From An Indian Organization,https://oig.hhs.gov/fraud/enforcement/arapahoe-man-sentenced-for-assault-resulting-in-serious-bodily-injury-and-theft-from-an-indian-organization/
Attorney General Griffin Announces Medicaid Fraud Conviction,2024-01-25,Attorney General Griffin Announces Medicaid Fraud Conviction,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-medicaid-fraud-conviction/
Former Federal Agent Sentenced To Prison For Witness Tampering And Obstructing Justice,2024-01-25,Former Federal Agent Sentenced To Prison For Witness Tampering And Obstructing Justice,https://oig.hhs.gov/fraud/enforcement/former-federal-agent-sentenced-to-prison-for-witness-tampering-and-obstructing-justice/
Assistant Convicted at Trial of Amniotic Fluid Scam,2024-01-25,Assistant Convicted at Trial of Amniotic Fluid Scam,https://oig.hhs.gov/fraud/enforcement/assistant-convicted-at-trial-of-amniotic-fluid-scam/
"New York Presbyterian Hospital Pays Over $800,000 to Settle Claims that Physician Practices Improperly Billed Government Health Care Programs",2024-01-25,"New York Presbyterian Hospital Pays Over $800,000 to Settle Claims that Physician Practices Improperly Billed Government Health Care Programs",https://oig.hhs.gov/fraud/enforcement/new-york-presbyterian-hospital-pays-over-800000-to-settle-claims-that-physician-practices-improperly-billed-government-health-care-programs/
Durable Medical Equipment Companies to Pay Millions in False Claims Settlement,2024-01-26,Durable Medical Equipment Companies to Pay Millions in False Claims Settlement,https://oig.hhs.gov/fraud/enforcement/durable-medical-equipment-companies-to-pay-millions-in-false-claims-settlement/
United States and State of Washington File False Claims Act Complaint Against MultiCare for Knowingly Endangering Patients and Fraudulently Billing for Spinal Surgery Procedures,2024-01-26,United States and State of Washington File False Claims Act Complaint Against MultiCare for Knowingly Endangering Patients and Fraudulently Billing for Spinal Surgery Procedures,https://oig.hhs.gov/fraud/enforcement/united-states-and-state-of-washington-file-false-claims-act-complaint-against-multicare-for-knowingly-endangering-patients-and-fraudulently-billing-for-spinal-surgery-procedures/
Memphis Woman Arrested Following TennCare Fraud Investigation,2024-01-26,Memphis Woman Arrested Following TennCare Fraud Investigation,https://oig.hhs.gov/fraud/enforcement/memphis-woman-arrested-following-tenncare-fraud-investigation/
Houston Dental Clinic Operator Convicted In $6M Pediatric Fraud Scheme,2024-01-26,Houston Dental Clinic Operator Convicted In $6M Pediatric Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/houston-dental-clinic-operator-convicted-in-6m-pediatric-fraud-scheme/
Former Nurse Sentenced to Federal Prison for Stealing Fentanyl and Other Controlled Substances,2024-01-26,Former Nurse Sentenced to Federal Prison for Stealing Fentanyl and Other Controlled Substances,https://oig.hhs.gov/fraud/enforcement/former-nurse-sentenced-to-federal-prison-for-stealing-fentanyl-and-other-controlled-substances/
"Four Plead Guilty to Healthcare Offenses, Including Doctor and Lab Owners",2024-01-29,"Four Plead Guilty to Healthcare Offenses, Including Doctor and Lab Owners",https://oig.hhs.gov/fraud/enforcement/four-plead-guilty-to-healthcare-offenses-including-doctor-and-lab-owners/
"Doctor Agrees to Pay $95,000 to Settle Allegations of Health Care Fraud",2024-01-29,"Doctor Agrees to Pay $95,000 to Settle Allegations of Health Care Fraud",https://oig.hhs.gov/fraud/enforcement/doctor-agrees-to-pay-95000-to-settle-allegations-of-health-care-fraud/
Home Health Company Owner Sentenced for Nearly $2.8M Medicare Fraud,2024-01-30,Home Health Company Owner Sentenced for Nearly $2.8M Medicare Fraud,https://oig.hhs.gov/fraud/enforcement/home-health-company-owner-sentenced-for-nearly-28m-medicare-fraud/
Florida Man Arrested For Role In Multimillion-Dollar Medicare Scheme Based On Fraudulent Billing For Durable Medical Equipment,2024-01-30,Florida Man Arrested For Role In Multimillion-Dollar Medicare Scheme Based On Fraudulent Billing For Durable Medical Equipment,https://oig.hhs.gov/fraud/enforcement/florida-man-arrested-for-role-in-multimillion-dollar-medicare-scheme-based-on-fraudulent-billing-for-durable-medical-equipment/
Kentucky Lab Agrees to $4.9 Million Civil Judgment and Drug Treatment Center Enters Settlement to Pay $2.2 Million to Resolve False Claims Act Allegations,2024-01-30,Kentucky Lab Agrees to $4.9 Million Civil Judgment and Drug Treatment Center Enters Settlement to Pay $2.2 Million to Resolve False Claims Act Allegations,https://oig.hhs.gov/fraud/enforcement/kentucky-lab-agrees-to-49-million-civil-judgment-and-drug-treatment-center-enters-settlement-to-pay-22-million-to-resolve-false-claims-act-allegations/
Serial Health Care Fraudster Sentenced for $234M Medicare Fraud Scheme,2024-01-30,Serial Health Care Fraudster Sentenced for $234M Medicare Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/serial-health-care-fraudster-sentenced-for-234m-medicare-fraud-scheme/
Former Employee of Eye For Change Youth and Family Services Sentenced to Prison for Fraudulent Medicaid Billing Practices,2024-01-31,Former Employee of Eye For Change Youth and Family Services Sentenced to Prison for Fraudulent Medicaid Billing Practices,https://oig.hhs.gov/fraud/enforcement/former-employee-of-eye-for-change-youth-and-family-services-sentenced-to-prison-for-fraudulent-medicaid-billing-practices/
Former Blackfeet Tribal Operations Manager Admits Stealing Tribal COVID-19 Relief Funding,2024-01-31,Former Blackfeet Tribal Operations Manager Admits Stealing Tribal COVID-19 Relief Funding,https://oig.hhs.gov/fraud/enforcement/former-blackfeet-tribal-operations-manager-admits-stealing-tribal-covid-19-relief-funding/
"UnityPoint Health Agreed to Pay $890,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Did Not Meet Coverage Criteria",2024-01-31,"UnityPoint Health Agreed to Pay $890,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Did Not Meet Coverage Criteria",https://oig.hhs.gov/fraud/enforcement/unitypoint-health-agreed-to-pay-890000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-did-not-meet-coverage-criteria/
"Advocates Agreed to Pay $22,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-01-31,"Advocates Agreed to Pay $22,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/advocates-agreed-to-pay-22000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Glastonbury Psychologist Admits Defrauding Medicaid of More Than $1.6 Million,2024-01-31,Glastonbury Psychologist Admits Defrauding Medicaid of More Than $1.6 Million,https://oig.hhs.gov/fraud/enforcement/glastonbury-psychologist-admits-defrauding-medicaid-of-more-than-16-million/
"University of Texas Southwestern Medical Center Agreed to Pay $39,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",2024-01-31,"University of Texas Southwestern Medical Center Agreed to Pay $39,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",https://oig.hhs.gov/fraud/enforcement/university-of-texas-southwestern-medical-center-agreed-to-pay-39000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/
Baltimore County Serial Fraudster Sentenced to Five Years in Federal Prison and Ordered to Pay $4.2 Million in Restitution,2024-02-01,Baltimore County Serial Fraudster Sentenced to Five Years in Federal Prison and Ordered to Pay $4.2 Million in Restitution,https://oig.hhs.gov/fraud/enforcement/baltimore-county-serial-fraudster-sentenced-to-five-years-in-federal-prison-and-ordered-to-pay-42-million-in-restitution/
"Man Sentenced for $336M Health Care Fraud, Wire Fraud, and Identity Theft Scheme",2024-02-02,"Man Sentenced for $336M Health Care Fraud, Wire Fraud, and Identity Theft Scheme",https://oig.hhs.gov/fraud/enforcement/man-sentenced-for-336m-health-care-fraud-wire-fraud-and-identity-theft-scheme/
"St. Peters Physician Pleads Guilty to False Statements, Resulting in $1.4 Million Medicare and Medicaid Fraud",2024-02-02,"St. Peters Physician Pleads Guilty to False Statements, Resulting in $1.4 Million Medicare and Medicaid Fraud",https://oig.hhs.gov/fraud/enforcement/st-peters-physician-pleads-guilty-to-false-statements-resulting-in-14-million-medicare-and-medicaid-fraud/
Pomona Hospital Agrees to Pay More Than $2 Million after Self-Reporting Overbilling of Medi-Cal for Prescription Medications,2024-02-02,Pomona Hospital Agrees to Pay More Than $2 Million after Self-Reporting Overbilling of Medi-Cal for Prescription Medications,https://oig.hhs.gov/fraud/enforcement/pomona-hospital-agrees-to-pay-more-than-2-million-after-self-reporting-overbilling-of-medi-cal-for-prescription-medications/
LabTox Agreed to Be Excluded for 20 Years for Allegedly Submitting False Claims for Drug Testing,2024-02-02,LabTox Agreed to Be Excluded for 20 Years for Allegedly Submitting False Claims for Drug Testing,https://oig.hhs.gov/fraud/enforcement/labtox-agreed-to-be-excluded-for-20-years-for-allegedly-submitting-false-claims-for-drug-testing/
TennCare Fraud Investigation Leads to Indictment of Newport Man,2024-02-05,TennCare Fraud Investigation Leads to Indictment of Newport Man,https://oig.hhs.gov/fraud/enforcement/tenncare-fraud-investigation-leads-to-indictment-of-newport-man/
Attorney General Bonta Announces $2.1 Million Settlement Against Pomona Hospital for Medi-Cal Fraud,2024-02-05,Attorney General Bonta Announces $2.1 Million Settlement Against Pomona Hospital for Medi-Cal Fraud,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-21-million-settlement-against-pomona-hospital-for-medi-cal-fraud/
False Claims Act Complaint Filed Against Former President and Co-Owner of Mobile Cardiac PET Scan Provider,2024-02-05,False Claims Act Complaint Filed Against Former President and Co-Owner of Mobile Cardiac PET Scan Provider,https://oig.hhs.gov/fraud/enforcement/false-claims-act-complaint-filed-against-former-president-and-co-owner-of-mobile-cardiac-pet-scan-provider/
AG Campbell Reaches $1.6M Settlement with North Dartmouth Ambulance Companies to Resolve False Billing Allegations,2024-02-06,AG Campbell Reaches $1.6M Settlement with North Dartmouth Ambulance Companies to Resolve False Billing Allegations,https://oig.hhs.gov/fraud/enforcement/ag-campbell-reaches-16m-settlement-with-north-dartmouth-ambulance-companies-to-resolve-false-billing-allegations/
Attorney General Raoul Obtains Conviction Of Physician Who Defrauded State Out Of More Than $1 Million Of Medicaid Funding,2024-02-06,Attorney General Raoul Obtains Conviction Of Physician Who Defrauded State Out Of More Than $1 Million Of Medicaid Funding,https://oig.hhs.gov/fraud/enforcement/attorney-general-raoul-obtains-conviction-of-physician-who-defrauded-state-out-of-more-than-1-million-of-medicaid-funding/
"Tri-Med Family Care Agreed to Pay $500,000 and Enter into a Compliance Agreement for Allegedly Violating the Civil Monetary Penalties Law by Inappropriately Drawing Down Funds from HHS Grants",2024-02-07,"Tri-Med Family Care Agreed to Pay $500,000 and Enter into a Compliance Agreement for Allegedly Violating the Civil Monetary Penalties Law by Inappropriately Drawing Down Funds from HHS Grants",https://oig.hhs.gov/fraud/enforcement/tri-med-family-care-agreed-to-pay-500000-and-enter-into-a-compliance-agreement-for-allegedly-violating-the-civil-monetary-penalties-law-by-inappropriately-drawing-down-funds-from-hhs-grants/
Pharmacy Owner and Administrator Admit Roles in Multimillion-Dollar Health Care Fraud and Kickback Scheme,2024-02-07,Pharmacy Owner and Administrator Admit Roles in Multimillion-Dollar Health Care Fraud and Kickback Scheme,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-administrator-admit-roles-in-multimillion-dollar-health-care-fraud-and-kickback-scheme/
"Charlotte Gastroenterology & Hepatology Agreed to Pay $389,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Not Covered",2024-02-07,"Charlotte Gastroenterology & Hepatology Agreed to Pay $389,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Not Covered",https://oig.hhs.gov/fraud/enforcement/charlotte-gastroenterology-hepatology-agreed-to-pay-389000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-not-covered/
"SBS Therapy Centers, Cherry Hill CORF, and Washington Township CORF, Agreed to Pay $500,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Therapy Services that Were Not Provided as Claimed",2024-02-07,"SBS Therapy Centers, Cherry Hill CORF, and Washington Township CORF, Agreed to Pay $500,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Therapy Services that Were Not Provided as Claimed",https://oig.hhs.gov/fraud/enforcement/sbs-therapy-centers-cherry-hill-corf-and-washington-township-corf-agreed-to-pay-500000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-therapy-services-that-were-not-provided-as-claimed/
